DateTime	Temperature	Illumination	Cage
2016-04-06 01:07:05	21.2	0	1
2016-04-06 01:08:05	21.6	0	1
2016-04-06 01:09:05	21.2	0	1
2016-04-06 01:10:05	21.2	0	1
2016-04-06 01:11:05	21.2	0	1
2016-04-06 01:12:05	21.6	0	1
2016-04-06 01:13:05	21.2	0	1
2016-04-06 01:14:05	21.2	0	1
2016-04-06 01:15:05	21.2	0	1
2016-04-06 01:16:05	21.2	0	1
2016-04-06 01:17:05	21.2	0	1
2016-04-06 01:18:05	21.6	0	1
2016-04-06 01:19:05	21.2	0	1
2016-04-06 01:20:05	21.2	0	1
2016-04-06 01:21:05	21.2	0	1
2016-04-06 01:22:05	21.2	0	1
2016-04-06 01:23:05	21.2	0	1
2016-04-06 01:24:05	21.2	0	1
2016-04-06 01:25:05	21.2	0	1
2016-04-06 01:26:05	21.6	0	1
2016-04-06 01:27:05	21.2	0	1
2016-04-06 01:28:05	21.6	0	1
2016-04-06 01:29:05	21.2	0	1
2016-04-06 01:30:05	21.2	0	1
2016-04-06 01:31:05	21.2	0	1
2016-04-06 01:32:05	21.6	0	1
2016-04-06 01:33:05	21.2	0	1
2016-04-06 01:34:05	21.2	0	1
2016-04-06 01:35:05	21.2	0	1
2016-04-06 01:36:05	21.6	0	1
2016-04-06 01:37:05	21.2	0	1
2016-04-06 01:38:05	21.2	0	1
2016-04-06 01:39:05	21.2	0	1
2016-04-06 01:40:05	21.2	0	1
2016-04-06 01:41:05	21.2	0	1
2016-04-06 01:42:05	21.2	0	1
2016-04-06 01:43:05	21.2	0	1
2016-04-06 01:44:05	21.2	0	1
2016-04-06 01:45:05	21.2	0	1
2016-04-06 01:46:05	21.2	0	1
2016-04-06 01:47:05	21.2	0	1
2016-04-06 01:48:05	21.2	0	1
2016-04-06 01:49:05	21.2	0	1
2016-04-06 01:50:05	21.2	0	1
2016-04-06 01:51:05	21.2	0	1
2016-04-06 01:52:05	21.2	0	1
2016-04-06 01:53:05	21.2	0	1
2016-04-06 01:54:05	21.2	0	1
2016-04-06 01:55:05	21.2	0	1
2016-04-06 01:56:05	21.2	0	1
2016-04-06 01:57:05	21.2	0	1
2016-04-06 01:58:05	21.2	0	1
2016-04-06 01:59:05	21.2	0	1
2016-04-06 02:00:05	21.2	0	1
2016-04-06 02:01:05	21.2	0	1
2016-04-06 02:02:05	21.2	0	1
2016-04-06 02:03:05	21.2	0	1
2016-04-06 02:04:05	21.2	0	1
2016-04-06 02:05:05	21.2	0	1
2016-04-06 02:06:05	21.2	0	1
2016-04-06 02:07:05	21.2	0	1
2016-04-06 02:08:05	21.2	0	1
2016-04-06 02:09:05	21.2	0	1
2016-04-06 02:10:05	21.2	0	1
2016-04-06 02:11:05	21.2	0	1
2016-04-06 02:12:05	21.2	0	1
2016-04-06 02:13:05	21.2	0	1
2016-04-06 02:14:05	21.2	0	1
2016-04-06 02:15:05	21.2	0	1
2016-04-06 02:16:05	21.2	0	1
2016-04-06 02:17:05	21.2	0	1
2016-04-06 02:18:05	21.2	0	1
2016-04-06 02:19:05	21.2	0	1
2016-04-06 02:20:05	21.2	0	1
2016-04-06 02:21:05	21.2	0	1
2016-04-06 02:22:05	21.2	0	1
2016-04-06 02:23:05	21.2	0	1
2016-04-06 02:24:05	21.2	0	1
2016-04-06 02:25:05	21.2	0	1
2016-04-06 02:26:05	21.2	0	1
2016-04-06 02:27:05	21.2	0	1
2016-04-06 02:28:05	21.2	0	1
2016-04-06 02:29:05	21.2	0	1
2016-04-06 02:30:05	21.2	0	1
2016-04-06 02:31:05	21.2	0	1
2016-04-06 02:32:05	21.2	0	1
